State,Median Income
US,56149.4
AL,46067.7
AK,69210.4
AZ,54058.8
AR,44160.3
CA,62975.5
CO,66745.9
CT,70560.3
D.C.,70097.3
DE,57555.7
FL,49514.6
GA,51319.7
HI,67610.5
ID,53567.4
IL,59094.6
IN,52428
IA,59209.7
KS,53928.4
KY,45409.6
LA,43375.5
ME,52089.4
MD,74824.6
MA,69155.4
MI,54211.5
MN,66475
MS,39707.9
MO,53813.5
MT,50644.3
NE,58270.4
NV,52536
NH,73122.9
NJ,67504.7
NM,44969.4
NY,56714.1
NC,47890.8
ND,58905.4
OH,52518.8
OK,49334.2
OR,58372.4
PA,57644.5
RI,58915.2
SC,48437.4
SD,54334.3
TN,48013
TX,55307.2
UT,65314.5
VT,60639.1
VA,67412.2
WA,66637
WV,43833.6
WI,57500.5
WY,58951.8
